Year,anticipation count,anticipation percentage,anger count,anger percentage,joy count,joy percentage,trust count,trust percentage,fear count,fear percentage,surprise count,surprise percentage,sadness count,sadness percentage,disgust count,disgust percentage,compound,pos,neu,neg
1965.0,8,2.5806451612903225,11,3.5483870967741935,151,48.70967741935484,114,36.774193548387096,13,4.193548387096775,3,0.967741935483871,10,3.225806451612903,0,0.0,0.44532947368421055,0.20777894736842115,0.6907263157894739,0.09096842105263159
1966.0,10,3.484320557491289,9,3.1358885017421603,135,47.038327526132406,112,39.02439024390244,8,2.7874564459930316,1,0.34843205574912894,10,3.484320557491289,2,0.6968641114982579,0.5432821052631578,0.2021999999999999,0.6866526315789472,0.07964210526315786
1967.0,7,2.2508038585209005,5,1.607717041800643,159,51.12540192926045,123,39.549839228295816,7,2.2508038585209005,4,1.2861736334405145,6,1.929260450160772,0,0.0,0.5111846938775508,0.18941836734693873,0.6888265306122445,0.09117346938775506
1968.0,10,3.5211267605633805,9,3.169014084507042,139,48.943661971830984,110,38.732394366197184,7,2.464788732394366,3,1.056338028169014,5,1.7605633802816902,1,0.35211267605633806,0.3718860215053765,0.1690967741935484,0.7214838709677419,0.0986666666666667
1969.0,9,2.980132450331126,7,2.3178807947019866,142,47.019867549668874,121,40.06622516556291,9,2.980132450331126,6,1.9867549668874174,6,1.9867549668874174,2,0.6622516556291391,0.45639677419354857,0.18453763440860213,0.6917741935483872,0.09145161290322583
1970.0,12,3.582089552238806,11,3.2835820895522385,151,45.07462686567164,128,38.2089552238806,15,4.477611940298507,8,2.3880597014925375,10,2.9850746268656714,0,0.0,0.502079381443299,0.18881443298969067,0.6998144329896906,0.09067010309278352
1971.0,6,2.0905923344947737,7,2.4390243902439024,138,48.08362369337979,113,39.37282229965157,10,3.484320557491289,3,1.0452961672473868,9,3.1358885017421603,1,0.34843205574912894,0.5272090909090908,0.18772727272727271,0.7165340909090907,0.08431818181818183
1972.0,11,3.8327526132404177,9,3.1358885017421603,130,45.29616724738676,109,37.97909407665505,17,5.923344947735192,5,1.7421602787456445,5,1.7421602787456445,1,0.34843205574912894,0.42949230769230756,0.17110989010989008,0.7139230769230771,0.08201098901098902
1973.0,11,3.5256410256410255,5,1.6025641025641024,146,46.794871794871796,122,39.1025641025641,13,4.166666666666666,5,1.6025641025641024,10,3.205128205128205,0,0.0,0.45148877551020405,0.1882551020408163,0.6960306122448979,0.09526530612244895
1974.0,5,1.937984496124031,6,2.3255813953488373,127,49.224806201550386,105,40.69767441860465,6,2.3255813953488373,4,1.550387596899225,5,1.937984496124031,0,0.0,0.4867645161290321,0.2010322580645162,0.7013978494623658,0.08682795698924736
1975.0,9,3.1578947368421053,11,3.8596491228070176,132,46.31578947368421,115,40.35087719298245,8,2.807017543859649,3,1.0526315789473684,7,2.456140350877193,0,0.0,0.5034860215053766,0.1886881720430107,0.7235268817204303,0.08782795698924732
1976.0,15,4.966887417218543,3,0.9933774834437087,145,48.01324503311258,119,39.40397350993378,14,4.635761589403973,3,0.9933774834437087,3,0.9933774834437087,0,0.0,0.5238865979381443,0.1799175257731958,0.7191340206185567,0.08026804123711341
1977.0,20,6.3897763578274756,7,2.2364217252396164,151,48.242811501597444,117,37.38019169329074,8,2.5559105431309903,3,0.9584664536741214,7,2.2364217252396164,0,0.0,0.5435241758241759,0.1951318681318682,0.7204285714285712,0.08440659340659341
1978.0,12,3.4482758620689653,14,4.022988505747127,166,47.701149425287355,129,37.06896551724138,14,4.022988505747127,6,1.7241379310344827,7,2.0114942528735633,0,0.0,0.5480354166666669,0.18785416666666674,0.6778229166666666,0.09263541666666664
1979.0,18,5.263157894736842,5,1.461988304093567,165,48.24561403508772,130,38.01169590643275,7,2.046783625730994,5,1.461988304093567,11,3.216374269005848,1,0.29239766081871343,0.5273136842105263,0.19662105263157897,0.6829157894736838,0.08892631578947369
1980.0,13,4.075235109717868,9,2.8213166144200628,155,48.589341692789965,120,37.61755485893417,12,3.761755485893417,5,1.5673981191222568,5,1.5673981191222568,0,0.0,0.5442755319148936,0.1917765957446808,0.7098085106382976,0.08777659574468083
1981.0,13,3.9755351681957185,11,3.3639143730886847,146,44.64831804281346,126,38.53211009174312,12,3.669724770642202,4,1.2232415902140672,15,4.587155963302752,0,0.0,0.49744421052631593,0.1937473684210526,0.6819263157894737,0.09272631578947371
1982.0,16,4.571428571428571,7,2.0,170,48.57142857142857,133,38.0,12,3.428571428571429,5,1.4285714285714286,7,2.0,0,0.0,0.4952281250000002,0.1776979166666666,0.7136041666666667,0.08781249999999997
1983.0,23,6.318681318681318,10,2.7472527472527473,161,44.230769230769226,139,38.18681318681318,18,4.945054945054945,9,2.4725274725274726,4,1.098901098901099,0,0.0,0.4186591836734696,0.16727551020408168,0.7401428571428572,0.09264285714285715
1984.0,16,4.27807486631016,15,4.010695187165775,175,46.79144385026738,140,37.4331550802139,18,4.81283422459893,3,0.8021390374331552,7,1.8716577540106951,0,0.0,0.3948122448979591,0.17970408163265314,0.7095204081632656,0.10056122448979589
1985.0,18,4.675324675324675,12,3.116883116883117,170,44.15584415584416,143,37.142857142857146,19,4.935064935064935,11,2.857142857142857,11,2.857142857142857,1,0.2597402597402597,0.4652676767676767,0.18519191919191927,0.7157676767676769,0.09899999999999996
1986.0,19,5.066666666666666,21,5.6000000000000005,163,43.46666666666666,133,35.46666666666667,21,5.6000000000000005,11,2.933333333333333,6,1.6,1,0.26666666666666666,0.5053791666666668,0.18557291666666664,0.6962291666666666,0.10775
1987.0,16,4.2105263157894735,15,3.9473684210526314,175,46.05263157894737,142,37.368421052631575,14,3.684210526315789,7,1.8421052631578945,9,2.368421052631579,2,0.5263157894736842,0.5013520000000001,0.18769000000000005,0.6984899999999996,0.09392000000000002
1988.0,9,2.34375,14,3.6458333333333335,190,49.47916666666667,152,39.58333333333333,10,2.604166666666667,3,0.78125,6,1.5625,0,0.0,0.5980787878787879,0.1920707070707071,0.6961919191919189,0.0915353535353535
1989.0,13,3.1553398058252426,14,3.3980582524271843,196,47.57281553398058,165,40.04854368932039,14,3.3980582524271843,7,1.6990291262135921,3,0.7281553398058253,0,0.0,0.5720249999999999,0.19892999999999997,0.7077700000000003,0.09325999999999995
1990.0,12,3.015075376884422,18,4.522613065326634,186,46.733668341708544,154,38.69346733668342,15,3.7688442211055273,5,1.256281407035176,8,2.0100502512562812,0,0.0,0.4144755102040818,0.1783469387755102,0.6895816326530613,0.11163265306122448
1991.0,24,6.030150753768844,12,3.015075376884422,186,46.733668341708544,150,37.68844221105528,14,3.5175879396984926,6,1.507537688442211,6,1.507537688442211,0,0.0,0.548657731958763,0.1865979381443299,0.7275154639175258,0.08591752577319588
1992.0,14,3.309692671394799,16,3.7825059101654848,198,46.808510638297875,159,37.5886524822695,25,5.91016548463357,6,1.4184397163120568,4,0.9456264775413712,1,0.2364066193853428,0.4803091836734694,0.1925816326530612,0.7106836734693878,0.09671428571428577
1993.0,24,5.25164113785558,23,5.032822757111598,205,44.85776805251641,156,34.13566739606127,24,5.25164113785558,14,3.063457330415755,8,1.75054704595186,3,0.6564551422319475,0.3867020202020202,0.18176767676767677,0.7004343434343436,0.1076868686868687
1994.0,15,3.4965034965034967,24,5.594405594405594,195,45.45454545454545,153,35.66433566433567,27,6.293706293706294,7,1.6317016317016315,7,1.6317016317016315,1,0.2331002331002331,0.36037234042553185,0.17926595744680854,0.7167021276595742,0.10403191489361704
1995.0,21,4.585152838427948,25,5.458515283842795,211,46.069868995633186,166,36.24454148471616,21,4.585152838427948,7,1.5283842794759825,5,1.0917030567685588,2,0.43668122270742354,0.39785876288659827,0.1734845360824742,0.7037938144329897,0.10218556701030929
1996.0,15,3.7128712871287126,22,5.445544554455446,180,44.554455445544555,151,37.37623762376238,18,4.455445544554455,9,2.2277227722772275,7,1.7326732673267329,2,0.49504950495049505,0.3722769230769231,0.1829120879120879,0.711956043956044,0.10513186813186812
1997.0,17,4.13625304136253,16,3.8929440389294405,198,48.175182481751825,148,36.009732360097324,21,5.109489051094891,5,1.2165450121654502,6,1.4598540145985401,0,0.0,0.3654663043478261,0.1748913043478261,0.7226413043478258,0.10240217391304342
1998.0,22,4.508196721311475,22,4.508196721311475,216,44.26229508196721,175,35.86065573770492,33,6.762295081967213,8,1.639344262295082,12,2.459016393442623,0,0.0,0.21971263157894746,0.16093684210526316,0.722884210526316,0.11614736842105262
1999.0,15,3.488372093023256,23,5.348837209302325,189,43.95348837209303,159,36.97674418604651,18,4.186046511627907,10,2.3255813953488373,15,3.488372093023256,1,0.23255813953488372,0.3470680412371132,0.17615463917525773,0.7086082474226802,0.11521649484536084
2000.0,26,5.689277899343545,21,4.595185995623632,199,43.544857768052516,165,36.10503282275711,24,5.25164113785558,14,3.063457330415755,8,1.75054704595186,0,0.0,0.49094800000000005,0.1784200000000001,0.71622,0.09540000000000003
2001.0,28,5.426356589147287,17,3.2945736434108532,238,46.12403100775194,196,37.98449612403101,24,4.651162790697675,7,1.3565891472868217,4,0.7751937984496124,2,0.3875968992248062,0.39046122448979614,0.171265306122449,0.7226836734693877,0.10614285714285715
2002.0,30,6.147540983606557,27,5.532786885245901,215,44.05737704918033,174,35.65573770491803,27,5.532786885245901,10,2.0491803278688523,3,0.6147540983606558,2,0.4098360655737705,0.3255707070707071,0.16587878787878793,0.7186262626262628,0.11544444444444445
2003.0,29,5.451127819548872,23,4.323308270676692,241,45.30075187969925,194,36.46616541353384,30,5.639097744360902,6,1.1278195488721803,6,1.1278195488721803,3,0.5639097744360901,0.24955154639175245,0.1554329896907217,0.7291134020618556,0.11548453608247419
2004.0,26,5.496828752642706,16,3.382663847780127,219,46.30021141649049,173,36.57505285412262,29,6.13107822410148,5,1.0570824524312896,2,0.42283298097251587,3,0.6342494714587738,0.13957040816326527,0.15001020408163268,0.7270612244897956,0.12296938775510206
