Year,anticipation count,anticipation percentage,anger count,anger percentage,joy count,joy percentage,trust count,trust percentage,fear count,fear percentage,surprise count,surprise percentage,sadness count,sadness percentage,disgust count,disgust percentage,compound,pos,neu,neg
2014.0,29,7.474226804123711,30,7.731958762886598,67,17.2680412371134,71,18.298969072164947,25,6.443298969072164,42,10.824742268041238,116,29.896907216494846,8,2.0618556701030926,-0.1250705882352941,0.11037254901960787,0.731529411764706,0.1581764705882353
2012.0,16,3.669724770642202,34,7.79816513761468,86,19.724770642201836,91,20.871559633027523,36,8.256880733944955,39,8.944954128440367,124,28.440366972477065,10,2.293577981651376,-0.06570000000000001,0.12203883495145633,0.738873786407767,0.13904854368932038
2011.0,37,5.489614243323442,47,6.973293768545995,113,16.765578635014837,142,21.068249258160236,51,7.566765578635016,62,9.198813056379821,204,30.267062314540063,18,2.6706231454005933,-0.03488108108108107,0.12137837837837837,0.7461891891891889,0.1324144144144144
2004.0,39,6.270096463022508,39,6.270096463022508,100,16.077170418006432,120,19.292604501607716,51,8.19935691318328,66,10.610932475884244,194,31.189710610932476,13,2.090032154340836,-0.1197,0.11849549549549551,0.7421261261261259,0.13938738738738735
2002.0,55,6.707317073170732,61,7.439024390243902,129,15.731707317073171,153,18.658536585365855,66,8.048780487804878,70,8.536585365853659,265,32.31707317073171,21,2.5609756097560976,-0.0710196581196581,0.12097435897435896,0.7516752136752137,0.12741025641025644
2001.0,42,7.046979865771812,46,7.718120805369128,106,17.78523489932886,115,19.29530201342282,54,9.060402684563758,63,10.570469798657719,157,26.34228187919463,13,2.1812080536912752,-0.08484782608695654,0.11548695652173914,0.7412347826086956,0.14327826086956522
1983.0,33,8.68421052631579,29,7.631578947368421,77,20.263157894736842,64,16.842105263157894,31,8.157894736842106,31,8.157894736842106,103,27.105263157894736,12,3.1578947368421053,-0.11553269230769232,0.1070096153846154,0.7429903846153844,0.15008653846153844
2006.0,41,6.366459627329192,43,6.6770186335403725,98,15.217391304347828,125,19.40993788819876,45,6.987577639751552,63,9.782608695652174,216,33.54037267080746,13,2.018633540372671,-0.0927267857142857,0.12566071428571426,0.7448482142857145,0.12949107142857144
2013.0,26,6.718346253229974,37,9.560723514211885,75,19.379844961240313,77,19.896640826873384,27,6.976744186046512,36,9.30232558139535,101,26.098191214470283,8,2.0671834625323,0.06474803921568627,0.13549019607843144,0.7580196078431374,0.10655882352941176
1981.0,31,7.848101265822785,33,8.354430379746836,70,17.72151898734177,78,19.746835443037973,27,6.8354430379746836,39,9.873417721518987,107,27.088607594936708,10,2.5316455696202533,-0.12969903846153852,0.12956730769230768,0.7151923076923079,0.1552884615384616
2015.0,11,4.059040590405904,17,6.273062730627306,66,24.354243542435423,62,22.878228782287824,10,3.6900369003690034,18,6.642066420664207,76,28.044280442804425,11,4.059040590405904,-0.03365643564356434,0.12232673267326731,0.745267326732673,0.1324257425742574
2016.0,25,8.445945945945946,19,6.418918918918918,61,20.60810810810811,54,18.243243243243242,20,6.756756756756757,27,9.121621621621621,72,24.324324324324326,18,6.081081081081082,0.051868932038834935,0.11313592233009705,0.7888349514563108,0.09803883495145632
1991.0,28,6.682577565632458,35,8.353221957040573,76,18.138424821002385,80,19.09307875894988,33,7.875894988066825,32,7.637231503579953,120,28.639618138424822,15,3.579952267303103,0.041070192307692314,0.13284615384615384,0.7382788461538458,0.1288942307692308
1986.0,43,9.207708779443255,43,9.207708779443255,74,15.845824411134904,85,18.201284796573873,38,8.137044967880087,38,8.137044967880087,138,29.550321199143468,8,1.7130620985010707,-0.04254907407407409,0.12457407407407405,0.7453796296296297,0.1300648148148148
2000.0,46,8.662900188323917,35,6.591337099811676,91,17.13747645951036,112,21.092278719397363,42,7.909604519774012,52,9.792843691148775,144,27.11864406779661,9,1.694915254237288,-0.03235181818181819,0.12871818181818184,0.7482272727272726,0.12302727272727275
1973.0,34,8.018867924528301,40,9.433962264150944,63,14.858490566037736,65,15.330188679245282,32,7.547169811320755,45,10.61320754716981,135,31.839622641509436,10,2.358490566037736,-0.14697596153846149,0.10054807692307688,0.7381346153846156,0.16128846153846155
2010.0,33,5.956678700361011,39,7.039711191335741,89,16.064981949458485,107,19.314079422382672,48,8.664259927797833,58,10.469314079422382,169,30.505415162454874,11,1.9855595667870036,-0.06650625000000002,0.1194553571428572,0.7481071428571429,0.1324910714285714
1972.0,24,6.486486486486487,24,6.486486486486487,72,19.45945945945946,69,18.64864864864865,27,7.297297297297297,27,7.297297297297297,113,30.54054054054054,14,3.783783783783784,-0.10409320388349516,0.11166990291262135,0.741067961165048,0.14728155339805823
1990.0,25,5.617977528089887,30,6.741573033707865,69,15.505617977528091,91,20.44943820224719,38,8.539325842696629,45,10.112359550561797,135,30.337078651685395,12,2.696629213483146,-0.19463211009174308,0.09917431192660553,0.7540000000000001,0.14675229357798167
1993.0,25,5.841121495327103,22,5.14018691588785,77,17.990654205607477,94,21.962616822429908,36,8.411214953271028,35,8.177570093457943,123,28.738317757009348,16,3.7383177570093453,-0.09112499999999998,0.11757692307692305,0.7434519230769231,0.13897115384615377
1978.0,35,7.216494845360824,34,7.010309278350515,81,16.70103092783505,85,17.525773195876287,44,9.072164948453608,39,8.041237113402062,155,31.958762886597935,12,2.4742268041237114,-0.2254619047619047,0.09713333333333334,0.7534761904761903,0.14938095238095236
2008.0,51,6.597671410090557,61,7.891332470892626,130,16.81759379042691,134,17.335058214747736,52,6.727037516170762,86,11.1254851228978,241,31.177231565329883,18,2.3285899094437257,-0.19103790322580647,0.10363709677419358,0.7580403225806452,0.13833064516129032
1979.0,44,7.857142857142857,45,8.035714285714286,90,16.071428571428573,98,17.5,57,10.178571428571429,46,8.214285714285714,167,29.82142857142857,13,2.3214285714285716,-0.0977194444444444,0.10712037037037035,0.754537037037037,0.1383055555555556
