Year,anticipation count,anticipation percentage,anger count,anger percentage,joy count,joy percentage,trust count,trust percentage,fear count,fear percentage,surprise count,surprise percentage,sadness count,sadness percentage,disgust count,disgust percentage,compound,pos,neu,neg
2014.0,9,10.112359550561797,8,8.98876404494382,30,33.70786516853933,22,24.719101123595504,10,11.235955056179774,8,8.98876404494382,0,0.0,2,2.247191011235955,-0.12146176470588232,0.11083333333333337,0.731450980392157,0.15776470588235297
2012.0,4,3.9215686274509802,13,12.745098039215685,37,36.27450980392157,29,28.431372549019606,11,10.784313725490197,6,5.88235294117647,0,0.0,2,1.9607843137254901,-0.06292815533980584,0.12241747572815535,0.7388058252427185,0.1387184466019418
2011.0,17,13.076923076923078,15,11.538461538461538,34,26.153846153846157,35,26.923076923076923,14,10.76923076923077,6,4.615384615384616,4,3.076923076923077,5,3.8461538461538463,-0.03340270270270269,0.11967567567567565,0.7463603603603599,0.13395495495495494
2004.0,20,16.129032258064516,10,8.064516129032258,35,28.225806451612907,33,26.61290322580645,15,12.096774193548388,8,6.451612903225806,1,0.8064516129032258,2,1.6129032258064515,-0.09732702702702704,0.12193693693693697,0.7429009009009006,0.13518918918918915
2002.0,16,9.937888198757763,21,13.043478260869565,47,29.19254658385093,43,26.70807453416149,14,8.695652173913043,8,4.968944099378882,5,3.1055900621118013,7,4.3478260869565215,-0.06377606837606835,0.12242735042735041,0.7516153846153847,0.12599145299145298
2001.0,17,14.782608695652174,12,10.434782608695652,35,30.434782608695656,30,26.08695652173913,14,12.173913043478262,5,4.3478260869565215,1,0.8695652173913043,1,0.8695652173913043,-0.09498608695652178,0.1159913043478261,0.7412434782608694,0.14276521739130435
1983.0,14,17.073170731707318,4,4.878048780487805,29,35.36585365853659,22,26.82926829268293,5,6.097560975609756,2,2.4390243902439024,3,3.6585365853658534,3,3.6585365853658534,-0.1032971153846154,0.10919230769230769,0.7433942307692304,0.14751923076923076
2006.0,17,15.178571428571427,4,3.571428571428571,32,28.57142857142857,32,28.57142857142857,14,12.5,11,9.821428571428571,0,0.0,2,1.7857142857142856,-0.08577946428571427,0.1259553571428571,0.7450714285714286,0.1289642857142857
2013.0,11,14.864864864864865,7,9.45945945945946,24,32.432432432432435,22,29.72972972972973,4,5.405405405405405,5,6.756756756756757,0,0.0,1,1.3513513513513513,0.06957156862745098,0.13413725490196085,0.7577745098039216,0.10813725490196077
1981.0,14,15.730337078651685,8,8.98876404494382,27,30.337078651685395,28,31.46067415730337,6,6.741573033707865,3,3.3707865168539324,1,1.1235955056179776,2,2.247191011235955,-0.10160769230769234,0.13250961538461536,0.7150480769230769,0.1524615384615385
2015.0,7,11.666666666666666,9,15.0,24,40.0,16,26.666666666666668,1,1.6666666666666667,0,0.0,0,0.0,3,5.0,-0.04430891089108909,0.12119801980198018,0.7453168316831682,0.13350495049504946
2016.0,12,20.0,4,6.666666666666667,19,31.666666666666664,16,26.666666666666668,3,5.0,3,5.0,1,1.6666666666666667,2,3.3333333333333335,0.05679805825242717,0.1114174757281553,0.788980582524272,0.09962135922330098
1991.0,9,8.653846153846153,11,10.576923076923077,33,31.73076923076923,31,29.807692307692307,7,6.730769230769231,2,1.9230769230769231,5,4.807692307692308,6,5.769230769230769,0.03233365384615385,0.1311826923076923,0.7388749999999997,0.12997115384615385
1986.0,16,17.02127659574468,11,11.702127659574469,27,28.723404255319153,22,23.404255319148938,9,9.574468085106384,4,4.25531914893617,3,3.1914893617021276,2,2.127659574468085,-0.044804629629629646,0.12610185185185185,0.7455555555555555,0.12834259259259262
